City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Esperance,AU,2022-03-31 20:20:33,-33.8667,121.9,64.09,79,96,18.07
135,Hobyo,SO,2022-03-31 20:20:34,5.3505,48.5268,82.49,75,4,14.67
136,Gondar,ET,2022-03-31 20:20:34,12.6,37.4667,70.36,18,85,6.35
137,Mount Darwin,ZW,2022-03-31 20:20:35,-16.7725,31.5838,66.4,77,15,2.71
138,Saskylakh,RU,2022-03-31 20:20:36,71.9167,114.0833,3.58,98,100,6.69
139,Northam,GB,2022-03-31 20:20:36,51.0333,-4.2167,42.62,67,95,19.39
140,Shakawe,BW,2022-03-31 20:21:37,-18.3667,21.85,73.98,64,100,3.38
141,San Vicente,AR,2022-03-31 20:21:37,-26.6167,-54.1333,65.21,38,32,6.78
142,Alihe,CN,2022-03-31 20:21:38,50.5667,123.7167,17.62,82,16,3.24
143,Hoa Binh,VN,2022-03-31 20:21:39,20.8133,105.3383,69.31,84,100,2.84
144,Antalaha,MG,2022-03-31 20:17:16,-14.9003,50.2788,74.23,91,100,7.76
145,Evensk,RU,2022-03-31 20:21:39,61.95,159.2333,8.91,77,100,10.18
146,Georgetown,MY,2022-03-31 20:19:17,5.4112,100.3354,78.73,98,20,0.0
147,Mbuguni,TZ,2022-03-31 20:21:40,-3.5667,36.95,70.43,80,76,8.12
148,Mitu,CO,2022-03-31 20:20:02,1.1983,-70.1733,88.75,52,42,3.06
149,Garowe,SO,2022-03-31 20:21:41,8.4054,48.4845,75.15,82,0,14.72
150,Saint-Philippe,RE,2022-03-31 20:21:42,-21.3585,55.7679,76.59,81,100,13.56
151,Chipinge,ZW,2022-03-31 20:21:42,-20.1883,32.6236,61.54,91,5,5.12
152,Padang,ID,2022-03-31 20:21:43,-0.9492,100.3543,75.52,78,45,4.27
153,Saint-Gilles,FR,2022-03-31 20:21:43,43.6766,4.4302,55.31,57,0,9.22
154,Safaga,EG,2022-03-31 20:21:44,26.7292,33.9365,74.59,39,100,4.72
155,Shenjiamen,CN,2022-03-31 20:21:44,29.9576,122.298,50.31,65,80,21.45
156,Havre-Saint-Pierre,CA,2022-03-31 20:21:45,50.2334,-63.5986,37.76,60,0,6.91
157,Omboue,GA,2022-03-31 20:21:45,-1.5746,9.2618,78.26,91,99,5.99
158,Labuan,MY,2022-03-31 20:21:46,5.2767,115.2417,77.36,88,40,2.3
159,Gamba,GA,2022-03-31 20:21:46,-2.65,10.0,77.38,93,100,3.67
160,Ostrovnoy,RU,2022-03-31 20:21:47,68.0531,39.5131,21.69,84,100,10.22
161,Eyl,SO,2022-03-31 20:21:47,7.9803,49.8164,80.06,84,24,13.18
162,Alofi,NU,2022-03-31 20:21:47,-19.0595,-169.9187,82.29,83,20,9.22
163,Agadez,NE,2022-03-31 20:21:48,19.75,10.25,79.95,4,16,7.78
164,Ulladulla,AU,2022-03-31 20:21:48,-35.35,150.4667,58.77,84,100,22.68
165,Kuching,MY,2022-03-31 20:21:49,1.55,110.3333,77.22,94,20,3.44
166,Olavarria,AR,2022-03-31 20:21:49,-36.8927,-60.3225,64.02,32,0,6.55
167,Matay,EG,2022-03-31 20:21:50,28.419,30.7792,71.44,12,19,7.07
168,Vestmannaeyjar,IS,2022-03-31 20:21:50,63.4427,-20.2734,40.57,67,100,7.54
169,Puerto Carreno,CO,2022-03-31 20:21:51,6.189,-67.4859,98.58,30,20,4.61
170,Ciudad Bolivar,VE,2022-03-31 20:21:51,8.1222,-63.5497,94.3,36,99,15.01
171,Haapiti,PF,2022-03-31 20:21:52,-17.5667,-149.8667,83.93,69,28,12.48
172,Salalah,OM,2022-03-31 20:20:34,17.0151,54.0924,80.69,50,0,3.44
173,Shingu,JP,2022-03-31 20:21:52,33.7333,135.9833,45.05,89,100,7.34
174,Veraval,IN,2022-03-31 20:21:53,20.9,70.3667,75.61,76,0,8.5
175,Slave Lake,CA,2022-03-31 20:21:53,55.2834,-114.769,42.78,52,100,18.41
176,Kodiak,US,2022-03-31 20:21:54,57.79,-152.4072,40.51,93,100,21.85
177,Lexington,US,2022-03-31 20:18:14,37.9887,-84.4777,48.33,72,100,12.66
178,Manama,BH,2022-03-31 20:21:54,26.2154,50.5832,73.35,45,0,2.3
179,Ilulissat,GL,2022-03-31 20:21:55,69.2167,-51.1,17.62,93,75,1.14
